ID,Taxon,Specimens,MW,MiL,HC,TSL,TSW,TSML,SH,AJR,species,genus
it_1,giant_turtle,Rondonia Jaw,1.014388489,0.956834532,0.532374101,0.507194245,0.104316547,0.176258993,0.604316547,65.839,it,it
em_1,Erymnochelys madagascariensis,MNHN_1897-80,1.043161979,1.00800194,0.384820563,0.790494665,0.204898157,0.132880698,0.389912706,82.029,em,er
em_2,Erymnochelys madagascariensis,MNHN_1946-71,0.862608976,0.79011947,0.334840168,0.590410074,0.187923797,0.096545044,0.307071359,92.764,em,er
em_3,Erymnochelys madagascariensis,NMW_140,1.158761366,1.073973949,0.424428607,0.820594741,0.218481199,0.150897026,0.388793315,89.517,em,er
em_4,Erymnochelys madagascariensis,NMW_141,1.078379034,1.013103616,0.481436545,0.778451832,0.180053385,0.115991264,0.392137831,86.592,em,er
em_5,Erymnochelys madagascariensis,NMW_142,0.971935339,0.994387068,0.353614728,0.729681185,0.183430624,0.122361922,0.30960934,88.282,em,er
em_6,Erymnochelys madagascariensis,BSZ_843-20,1.090541905,1.072702794,0.298216089,0.828004039,0.183103332,0.147425109,0.343655335,82.288,em,er
em_7,Erymnochelys madagascariensis,SMF 7979,0.883092,0.878274,0.358056,0.654934,0.155039,0.12864,0.253928,80.966,em,er
pd_1,Peltocephalus dumerilianus,MCZ_93077,1.057503949,0.901421801,0.468720379,0.786413902,0.158293839,0.180094787,0.417061611,73.689,pd,pe
pd_2,Peltocephalus dumerilianus,MPEG_0306,0.952304681,0.889304147,0.377825236,0.762947144,0.155187756,0.164798007,0.429079907,69.547,pd,pe
pd_3,Peltocephalus dumerilianus,SMRF_40169,0.608710446,0.771861177,0.375127594,0.60564818,0.108029942,0.144607009,0.418509697,70.077,pd,pe
pd_4,Peltocephalus dumerilianus,AMNH_131886,0.889944461,0.790850628,0.403390821,0.654633148,0.118240281,0.148494592,0.424437299,72.286,pd,pe
pd_5,Peltocephalus dumerilianus,ICN_7324,0.922137405,0.936386768,0.396437659,0.682782019,0.129940628,0.156403732,0.40322307,74.661,pd,pe
pd_6,Peltocephalus dumerilianus,CRI_3344,0.777834265,0.87633452,0.34430605,0.675266904,0.111591256,0.176792069,0.373284189,70.958,pd,pe
pd_7,Peltocephalus dumerilianus,INPA-H_22885,0.920525378,0.927203918,0.341718611,0.738423865,0.130231523,0.126224399,0.339492431,74.5,pd,pe
pd_8,Peltocephalus dumerilianus,SMF 40168,0.936089,0.89215,0.379472,0.607503,0.143974,0.196249,0.44703,75.134,pd,pe
pe_1,Podocnemis erythrocephala,USNM_135474,1.028510638,0.949361702,0.347234043,0.814468085,0.160425532,0.09106383,0.30212766,77.112,pe,pe
pe_2,Podocnemis erythrocephala,INPA-H_10268,1.051383399,0.992094862,0.275362319,0.805006588,0.165568731,0.123847167,0.216073781,75.56,pe,pe
px_1,Podocnemis expansa,AMNH_91853,1.246413199,1.00197274,0.43543759,0.967539455,0.224175036,0.176470588,0.395803443,82.313,px,po
px_2,Podocnemis expansa,BMNH_????,0.865746937,0.685678987,0.379491403,0.626994749,0.138165345,0.128796458,0.275610007,81.25,px,po
